City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Klaksvík,62.23,-6.59,37.4,67,27,3.36,FO,1603753172
‘Āhuimanu,21.44,-157.84,84.2,70,40,6.93,US,1603753415
Rio Grande,-32.03,-52.1,64,98,100,5.99,BR,1603752987
Nioro,13.35,-15.75,78.96,52,0,5.61,GM,1603753216
Belyy Yar,53.6,91.39,39.2,93,0,6.71,RU,1603753481
Abu Samrah,35.3,37.18,69.12,23,0,11.5,SY,1603753482
Omboué,-1.57,9.26,76.12,89,83,7.4,GA,1603753482
Kulhudhuffushi,6.62,73.07,82.08,76,37,7.49,MV,1603753482
Shache,38.42,77.24,39.24,62,95,2.26,CN,1603753482
Chimbote,-9.09,-78.58,63.5,84,99,8.61,PE,1603753362
Puerto Ayora,-0.74,-90.35,70,86,68,5.01,EC,1603752978
Nyimba,-14.56,30.81,79.21,45,40,9.4,ZM,1603753482
Tuktoyaktuk,69.45,-133.04,8.6,84,40,12.75,CA,1603753136
Codrington,-38.27,141.97,56.64,73,49,14.72,AU,1603753165
Neosho,36.87,-94.37,33.01,95,100,5.99,US,1603753482
Airai,-8.93,125.41,67.5,83,65,1.77,TL,1603753150
Mporokoso,-9.37,30.12,68.7,63,64,3.56,ZM,1603753483
Bhadrāchalam,17.67,80.88,68.72,85,0,2.57,IN,1603753483
Atuona,-9.8,-139.03,79.02,73,93,19.44,PF,1603753132
Provost,52.35,-110.27,32.67,77,98,4.09,CA,1603753483
Hobyo,5.35,48.53,78.8,80,45,3.67,SO,1603753483
Bowen,-20.02,148.23,73.4,88,40,4.7,AU,1603753483
Emporia,38.4,-96.18,28.4,74,90,10.29,US,1603753483
Cidreira,-30.18,-50.21,68.34,95,100,13.04,BR,1603753135
Sanghar,26.05,68.95,64.4,77,0,4.7,PK,1603753335
Loreto,22.27,-101.97,79.18,17,68,5.32,MX,1603753484
Yellowknife,62.46,-114.35,23,67,75,5.82,CA,1603753131
Wollongong,-34.43,150.88,60.01,73,98,7,AU,1603753286
Vestmannaeyjar,63.44,-20.27,43.05,75,100,29.24,IS,1603753151
East London,-33.02,27.91,67.08,87,99,21.32,ZA,1603753129
Chui,-33.7,-53.46,58.05,89,100,13.49,UY,1603753147
Nhulunbuy,-12.23,136.77,82.4,78,40,8.05,AU,1603752917
Tres Picos,15.87,-93.53,83.55,72,63,1.97,MX,1603753484
Gouré,13.98,10.27,79,23,2,4,NE,1603753485
Charters Towers,-20.1,146.27,81.9,47,98,2.55,AU,1603753161
Turukhansk,65.82,87.98,-1.28,88,0,6.76,RU,1603752955
Grindavik,63.84,-22.43,39.2,80,75,21.92,IS,1603753131
Namtsy,62.72,129.67,17.6,78,40,6.71,RU,1603753485
Mogok,22.92,96.5,63.64,100,99,1.5,MM,1603753485
Port Blair,11.67,92.75,79.2,80,9,3.06,IN,1603752977
Cabo San Lucas,22.89,-109.91,87.01,58,5,14.99,MX,1603752858
Ponta do Sol,32.67,-17.1,66.2,72,40,11.41,PT,1603753165
Clyde River,70.47,-68.59,10.44,86,7,4.59,CA,1603752983
Boueni,-12.9,45.08,75.2,83,0,4.7,YT,1603753486
Kuching,1.55,110.33,73.4,94,40,4.7,MY,1603753486
Umluj,25.02,37.27,80.04,56,0,0.67,SA,1603753486
Pisco,-13.7,-76.22,68,68,0,18.34,PE,1603753153
Pecos,31.42,-103.49,37.4,59,90,12.75,US,1603753486
Port-Gentil,-0.72,8.78,78.8,88,90,6.93,GA,1603753486
Busselton,-33.65,115.33,63,79,69,12.21,AU,1603752978
Saravan,39.72,45.65,50,57,0,6.93,AM,1603753487
San Policarpo,12.18,125.51,81.07,80,100,4.68,PH,1603753487
Kirakira,-10.45,161.92,84.92,72,81,4.5,SB,1603753196
Ribeira Grande,38.52,-28.7,68.72,90,98,19.84,PT,1603752972
Kupang,-10.17,123.58,78.8,88,20,2.24,ID,1603753487
Homer,59.64,-151.55,44.6,70,75,25.28,US,1603753170
Mahanoro,-19.9,48.8,68.88,80,10,3.56,MG,1603753487
Saint Anthony,45.02,-93.22,30.2,50,40,5.82,US,1603753177
Khāsh,28.22,61.22,44.02,59,0,0.63,IR,1603753145
Tasiilaq,65.61,-37.64,33.8,47,100,20.8,GL,1603753133
San Jerónimo,-11.95,-75.28,59.2,55,100,4.52,PE,1603753488
Sittwe,20.15,92.9,77.79,89,11,5.77,MM,1603753165
Alabaster,33.24,-86.82,75.2,64,40,2.93,US,1603753488
Banda Aceh,5.56,95.32,79.5,73,54,11.56,ID,1603753488
Ahipara,-35.17,173.17,68.52,73,30,6.22,NZ,1603753162
Ketchikan,55.34,-131.65,53.6,100,90,11.41,US,1603753206
Saint Paul Harbor,57.79,-152.41,51.8,64,1,28.86,US,1603753151
Bredasdorp,-34.53,20.04,64.4,82,99,9.17,ZA,1603753152
Paracuru,-3.41,-39.03,80.01,75,0,13,BR,1603753489
Coyhaique,-45.58,-72.07,50,46,40,6.93,CL,1603753172
Gerāsh,27.67,54.14,60.39,51,0,2.84,IR,1603753489
Vilcún,-38.65,-72.23,55.4,66,90,3.36,CL,1603753489
Kruisfontein,-34,24.73,64,89,94,5.01,ZA,1603753172
Gohpur,26.88,93.63,69.58,89,1,1.9,IN,1603753489
Kaitangata,-46.28,169.85,53.01,69,89,8.99,NZ,1603752992
Hong Kong,22.29,114.16,75,79,86,5.01,HK,1603753003
Verkh-Usugli,52.7,115.17,19.06,86,0,5.12,RU,1603753490
Comodoro Rivadavia,-45.87,-67.5,66.2,37,0,20.8,AR,1603753089
Constitución,-35.33,-72.42,53.15,75,64,13.82,CL,1603753490
Kuala Pilah,2.74,102.25,77,94,20,2.51,MY,1603753490
Lata,40.16,-8.33,53.01,88,98,1.01,PT,1603753180
Stonewall,50.13,-97.33,26.6,49,75,23.04,CA,1603753490
Lebu,-37.62,-73.65,52.45,83,100,5.26,CL,1603752990
Ciudad Bolivar,8.12,-63.55,82.29,69,95,9.57,VE,1603753491
Saskylakh,71.92,114.08,-0.65,91,93,5.77,RU,1603753148
Flin Flon,54.77,-101.86,28.4,54,5,9.17,CA,1603753491
Arraial do Cabo,-22.97,-42.03,73.4,88,40,4.7,BR,1603752985
Sicamous,50.83,-118.99,34,87,91,2.84,CA,1603753491
Maungaturoto,-36.1,174.37,73.99,63,17,4,NZ,1603753491
Bethel,41.37,-73.41,53.6,93,90,4.7,US,1603752987
Ilulissat,69.22,-51.1,19.4,73,100,5.82,GL,1603753009
Kropotkin,45.44,40.58,55,60,24,15.95,RU,1603753491
Rypefjord,70.63,23.67,35.6,80,0,5.82,NO,1603753492
Kahului,20.89,-156.47,89.6,52,40,10.29,US,1603752995
Örnsköldsvik,63.29,18.72,41,100,90,2.24,SE,1603753492
Beringovskiy,63.05,179.32,32.92,87,0,2.68,RU,1603753219
Gorontalo,0.54,123.06,79.83,75,100,1.77,ID,1603753492
Ekhabi,53.51,142.97,39.51,83,96,9.33,RU,1603753492
Clarence Town,-32.58,151.78,63,88,90,17.22,AU,1603753492
Jinka,5.65,36.65,64.02,91,77,2.44,ET,1603753492
Cape Town,-33.93,18.42,64.99,82,0,3.36,ZA,1603752958
Sadon,42.85,44,46.4,93,0,4.47,RU,1603753493
Staryy Nadym,65.61,72.68,6.55,94,0,9.04,RU,1603753493
Hinton,53.4,-117.59,37.94,76,100,10.71,CA,1603753230
Mandalgovi,45.76,106.27,24.6,69,0,6.73,MN,1603753493
Saint-Philippe,-21.36,55.77,71.6,78,48,4.7,RE,1603753137
Ust'-Tarka,55.57,75.7,44.04,81,100,14.74,RU,1603753493
Dikson,73.51,80.55,11.03,95,93,16.13,RU,1603753130
Baturaja,-4.13,104.17,73.09,91,100,1.77,ID,1603753493
Bonavista,48.65,-53.11,37,62,98,5.99,CA,1603753493
Mar del Plata,-38,-57.56,57.2,67,0,5.82,AR,1603753131
Touros,-5.2,-35.46,80.6,78,40,10.29,BR,1603753142
Bathsheba,13.22,-59.52,75.2,94,75,21.92,BB,1603752998
Mnogovershinnyy,53.94,139.92,29.97,96,6,2.04,RU,1603753494
Babu,24.42,111.52,65.34,80,54,5.21,CN,1603753494
Fortuna,40.6,-124.16,66.99,22,20,14.99,US,1603753183
Kyaukse,21.6,96.13,74.5,89,34,2.42,MM,1603753494
Udachny,66.42,112.4,-7.6,83,96,2.24,RU,1603753495
Henties Bay,-22.12,14.28,55.99,93,0,7.02,NA,1603753174
Baraboo,43.47,-89.74,32,58,1,4.7,US,1603753399
Adrar,20.5,-10.07,87.35,13,26,6.98,MR,1603752991
Vila Franca do Campo,37.72,-25.43,68,82,40,14.99,PT,1603753168
Port Macquarie,-31.43,152.92,73,63,100,1.99,AU,1603753495
Takoradze,4.88,-1.76,77.77,88,98,5.84,GH,1603753195
Gisborne,-38.65,178,67.95,57,70,7.09,NZ,1603753495
Lüderitz,-26.65,15.16,60.75,73,0,12.15,NA,1603753138
Galveston,29.37,-94.97,79,74,75,12.75,US,1603753495
Hattiesburg,31.33,-89.29,78.8,57,1,4.34,US,1603753393
Taltal,-25.4,-70.48,59.14,78,43,5.46,CL,1603753496
Merauke,-8.47,140.33,81.57,76,88,10.25,ID,1603753496
Kampene,-3.6,26.67,69.51,96,63,1.1,CD,1603753496
Berlevåg,70.86,29.09,33.8,86,0,6.93,NO,1603753191
Saint-Augustin,51.23,-58.65,33.98,75,96,9.93,CA,1603753496
Geraldton,-28.77,114.6,59,93,15,7.47,AU,1603752955
Mossamedes,-15.2,12.15,69.35,79,69,3.29,AO,1603753496
Sacramento,38.47,-121.32,75,7,1,20.8,US,1603753334
Bilma,18.69,12.92,68.7,24,0,1.32,NE,1603753497
Aklavik,68.22,-135.01,12.2,85,75,9.17,CA,1603753497
Thinadhoo,0.53,72.93,82.45,69,40,6.93,MV,1603753497
Iralaya,15,-83.23,80.46,83,100,1.92,HN,1603753497
Margate,51.38,1.39,51.01,66,46,7,GB,1603753497
Colares,38.8,-9.45,57,79,69,7.05,PT,1603753497
Kysyl-Syr,63.9,122.76,6.42,93,98,5.44,RU,1603753497
Savonlinna,61.87,28.88,48.2,93,90,9.17,FI,1603753497
Srednekolymsk,67.45,153.68,7.3,91,0,5.86,RU,1603753498
Okhotsk,59.38,143.3,28.76,78,0,15.79,RU,1603753143
Carnarvon,-24.87,113.63,68,88,0,16.11,AU,1603753152
Hanstholm,57.12,8.62,48,65,36,1.99,DK,1603753498
Luau,-10.71,22.22,66.06,92,99,3.11,AO,1603753498
Saldanha,-33.01,17.94,59,87,9,3.36,ZA,1603753162
Alice Springs,-23.7,133.88,66.2,24,0,10.29,AU,1603753139
Lokosovo,61.13,74.82,25.07,97,100,13.38,RU,1603753499
Tarauacá,-8.16,-70.77,83.79,63,100,3.67,BR,1603753499
Hope,33.67,-93.59,52,77,100,4,US,1603753202
Isangel,-19.55,169.27,78.8,74,75,5.82,VU,1603753176
Arrondissement du Havre,49.58,0.33,51.8,87,90,14.99,FR,1603753499
Upernavik,72.79,-56.15,17.78,82,99,5.35,GL,1603753146
Schio,45.71,11.36,57,95,100,1.99,IT,1603753499
Exeter,50.72,-3.53,46.4,87,0,5.82,GB,1603753499
Vao,-22.67,167.48,73.36,83,5,20.98,NC,1603753215
Magway,20.15,94.92,75.02,93,27,3.06,MM,1603753500
Dhārchula,29.85,80.53,51.51,39,0,4.9,IN,1603753500
Alpena,45.06,-83.43,37.4,93,75,8.05,US,1603753295
Morondava,-20.28,44.28,75.13,72,44,6.35,MG,1603753500
Båtsfjord,70.63,29.72,33.8,82,40,19.46,NO,1603753169
Montreal,45.51,-73.59,41,93,90,6.93,CA,1603753253
Umm Hājar,13.3,19.7,82.04,16,14,11.74,TD,1603753500
Kristinestad,62.27,21.38,49.71,95,100,14.34,FI,1603753500
Yangi Marg`ilon,40.43,71.72,48.2,49,0,6.93,UZ,1603753029
Glencoe,-28.18,30.15,60.91,90,99,3.6,ZA,1603753500
Kenora,49.82,-94.43,26.6,49,40,11.41,CA,1603753501
Conakry,9.54,-13.68,81.19,84,79,8.43,GN,1603753501
Rawson,-43.3,-65.1,66.61,36,100,12.53,AR,1603753501
Neiafu,-18.65,-173.98,80.6,69,75,9.17,TO,1603753501
Aquiraz,-3.9,-38.39,80.6,78,20,6.93,BR,1603753214
Joshīmath,30.57,79.57,47.17,41,0,5.32,IN,1603753501
Maceió,-9.67,-35.74,77,83,0,11.41,BR,1603753483
Dryden,49.78,-92.75,26.6,53,90,12.75,CA,1603753502
Honningsvåg,70.98,25.97,33.8,80,0,13.87,NO,1603753198
Kabanga,-2.64,30.47,61.7,96,100,4.16,TZ,1603753502
Healesville,-37.65,145.52,61,53,57,1.99,AU,1603753216
Cap Malheureux,-19.98,57.61,72,76,1,4,MU,1603753296
Lerwick,60.15,-1.15,48.2,93,0,4.7,GB,1603753502
Berdigestyakh,62.1,126.7,9.61,93,100,7.72,RU,1603753313
Arlit,18.74,7.39,77.38,17,0,9.51,NE,1603753503
Vestmanna,62.16,-7.17,37.4,77,13,3.36,FO,1603753152
Cayenne,4.93,-52.33,80.6,88,90,3.36,GF,1603753005
Cherskiy,68.75,161.3,4.3,93,22,6.33,RU,1603753153
Port-Cartier,50.03,-66.87,32,98,90,5.82,CA,1603753503
Heraclea,37.51,34.05,60.22,33,100,4.05,TR,1603753503
Predivinsk,57.07,93.44,36.14,94,100,3.69,RU,1603753503
Buchanan,5.88,-10.05,78.93,88,86,7.76,LR,1603753187
Grand Gaube,-20.01,57.66,72,76,1,5.01,MU,1603753504
Ngaoundéré,7.32,13.58,64.33,50,36,2.06,CM,1603753504
Bud,39.45,-86.18,45,93,90,8.46,US,1603753504
Tulun,54.56,100.58,28.13,87,98,4.29,RU,1603753504
Andenes,69.31,16.12,42.8,75,75,18.34,NO,1603753387
Santa Cruz,30.42,-9.6,60.8,87,0,4.7,MA,1603753504
Balkanabat,39.51,54.37,60.67,33,100,2.01,TM,1603753504
Tiznit Province,29.58,-9.5,60.24,80,11,3.85,MA,1603753157
Gizo Government Station,-8.1,156.84,83.35,71,89,1.88,SB,1603753505
Troitskoye,52.98,84.68,37.33,79,100,9.8,RU,1603753505
Najrān,17.49,44.13,60.8,26,0,2.13,SA,1603753505
Bambanglipuro,-7.95,110.28,77.14,86,85,5.23,ID,1603753505
Dukat,62.55,155.55,13.6,96,98,7.31,RU,1603753505
Sirte,31.21,16.59,71.26,76,0,15.73,LY,1603753505
San Patricio,28.02,-97.52,84.2,66,20,18.34,US,1603753198
Nanortalik,60.14,-45.24,33.46,91,94,13.51,GL,1603753178
Burgeo,47.62,-57.62,38.07,76,88,7.72,CA,1603753506
Saint-Joseph,-21.37,55.62,71.6,78,27,4.7,RE,1603753178
Kadoma,34.73,135.58,55.99,87,40,3.36,JP,1603753506
Cockburn Town,21.46,-71.14,82.98,80,94,19.6,TC,1603753194
Shelburne,44.08,-80.2,43,75,90,2.24,CA,1603753373
‘Ewa Beach,21.32,-158.01,84.2,66,20,9.17,US,1603753235
Verāval,20.9,70.37,80.15,58,0,8.68,IN,1603753507
Quimperlé,47.87,-3.55,50,87,75,8.05,FR,1603753507
Forsytheganj,52.63,29.73,47.77,79,53,8.84,BY,1603753236
Bonthe,7.53,-12.51,79.14,87,81,6.49,SL,1603753507
Pirovskoye,57.63,92.27,33.57,97,100,4.68,RU,1603753507
Dicabisagan,17.08,122.42,79.25,85,99,2.75,PH,1603753507
Avera,33.19,-82.53,68,81,90,4.7,US,1603753134
Mariestad,58.71,13.82,48.2,93,100,6.93,SE,1603753507
Mtsensk,53.28,36.57,43.93,84,100,7.45,RU,1603753508
Wufeng,27.45,104.83,46.96,100,99,2.19,CN,1603753508
Xam Nua,20.42,104.04,63.81,95,99,1.05,LA,1603753508
Parchim,53.43,11.85,48.99,96,100,4,DE,1603753508
Tolaga Bay,-38.37,178.3,67.82,59,50,6.51,NZ,1603753508
Guerrero Negro,27.98,-114.06,73.78,35,1,23.38,MX,1603753020
Meulaboh,4.14,96.13,75.9,87,93,4.38,ID,1603753000
Bambous Virieux,-20.34,57.76,72,78,75,8.05,MU,1603753157
Tiksi,71.69,128.87,6.37,94,99,6.62,RU,1603753176
Careiro da Várzea,-3.2,-59.81,84.2,79,75,4.7,BR,1603753509
Muli,2.92,73.57,82.04,75,8,8.16,MV,1603753509
Esperance,-33.87,121.9,57.2,93,0,5.82,AU,1603753190
Yakeshi,49.28,120.73,23.99,94,99,17.96,CN,1603753509
Broome,42.25,-75.83,55.99,93,90,9.17,US,1603753006
George,-33.96,22.46,60.8,100,1,4.7,ZA,1603753509
Santarém,-2.44,-54.71,86,70,20,2.24,BR,1603753510
Russell,32.35,-85.2,80.6,61,1,5.82,US,1603753510
Kavieng,-2.57,150.8,85.03,63,80,6.38,PG,1603753150
Portland,45.52,-122.68,55,37,20,3.36,US,1603753090
Yaan,7.38,8.57,75.47,86,93,5.17,NG,1603753510
Nouadhibou,20.93,-17.03,75.2,64,0,18.34,MR,1603753510
Makkah al Mukarramah,21.43,39.83,74.59,65,0,2.06,SA,1603753425
Fort-Shevchenko,44.51,50.26,51.55,62,88,11.88,KZ,1603753510
Kununurra,-15.77,128.73,75.2,94,90,6.93,AU,1603753193
Port Lincoln,-34.73,135.87,58.15,79,17,10.8,AU,1603753014
Rochegda,62.8,43.25,28.36,97,98,8.19,RU,1603753511
Nome,64.5,-165.41,37.99,59,20,6.93,US,1603753166
Saint Joseph,39.77,-94.85,32,86,90,11.41,US,1603753511
Aykhal,66,111.5,-7.6,83,100,2.24,RU,1603753511
Sinnamary,5.38,-52.95,79.81,86,3,10.51,GF,1603753143
Barcelona,41.39,2.16,57.2,50,20,8.05,ES,1603753387
Kendari,-3.94,122.5,80.82,75,100,0.78,ID,1603753511
Leningradskiy,69.38,178.42,27.03,97,100,13.6,RU,1603753171
Oistins,13.07,-59.53,75.2,94,75,21.92,BB,1603753453
Karak,31.17,35.75,62.6,20,0,5.82,JO,1603753512
Bandarbeyla,9.49,50.81,75.47,79,51,12.15,SO,1603753138
Falmouth,50.15,-5.07,51.8,81,56,14.99,GB,1603753225
Pierre,44.37,-100.35,17.6,61,1,9.17,US,1603753321
Zambezi,-13.54,23.1,74.59,53,53,2.75,ZM,1603753512
Dogondoutchi,13.64,4.03,84.69,15,11,3.6,NE,1603753225
Prado,-17.34,-39.22,73.83,90,3,6.4,BR,1603753512
Mormugao,15.4,73.8,76.59,87,2,5.37,IN,1603753513
Cao Bang,22.67,106.25,67.03,88,41,2.01,VN,1603753513
Siniscola,40.57,9.69,57.2,82,100,9.17,IT,1603753513
Rome,43.21,-75.46,48.2,93,90,4.7,US,1603753091
San Quintín,30.48,-115.95,69.33,38,14,9.66,MX,1603753136
Skerries,53.58,-6.11,46,87,20,6.93,IE,1603753513
Zhezkazgan,47.8,67.71,37.29,74,6,12.62,KZ,1603753514
Luena,-11.78,19.92,64.63,88,100,4.27,AO,1603753514
Kīhei,20.79,-156.47,89.6,52,40,10.29,US,1603753514
Manuk Mangkaw,4.8,119.85,83.46,74,100,19.28,PH,1603753514
Suriāpet,17.15,79.62,71.71,78,0,7.02,IN,1603753514
Odienné,9.51,-7.57,74.07,58,96,0.81,CI,1603753332
Attock,33.77,72.36,57.99,58,0,5.82,PK,1603753514
Apastovo,55.2,48.51,26.6,73,40,8.95,RU,1603753515
Castro,-24.79,-50.01,65.07,85,97,3.36,BR,1603753134
Eilat,29.56,34.95,78.8,74,0,3.33,IL,1603753515
Petatlán,17.52,-101.27,89.6,66,40,9.17,MX,1603753515
Santa Cruz de la Sierra,-17.8,-63.17,80.6,47,75,11.41,BO,1603753237
Amahai,-3.33,128.92,86,88,100,3.04,ID,1603753515
Omealca,18.75,-96.77,79.32,73,29,1.23,MX,1603753515
Brae,60.4,-1.35,48.2,93,0,4.7,GB,1603753516
Dori,14.04,-0.03,83.5,14,0,6.53,BF,1603753516
Baruun-Urt,46.68,113.28,20.71,82,0,7.14,MN,1603753516
Husavik,66.04,-17.34,35.6,74,90,8.05,IS,1603753163
Wana,32.3,69.57,50.85,38,0,2.04,PK,1603753347
Myitkyina,25.38,97.4,69.31,86,0,1.68,MM,1603753516
Nara,34.69,135.8,55.99,87,40,3.36,JP,1603753516
Lityn,49.33,28.08,49.06,90,3,7.11,UA,1603753517
Shirokovskiy,58.84,57.78,23,84,75,1.99,RU,1603753517
North Bend,43.41,-124.22,60.01,50,1,18.34,US,1603753517
Flinders,-34.58,150.86,59,87,99,3,AU,1603753133
Belmonte,-15.86,-38.88,77,83,0,9.17,BR,1603753517
Kot Samaba,28.55,70.47,63.79,29,0,1.68,PK,1603753517
Mahébourg,-20.41,57.7,71.6,78,75,8.05,MU,1603753148
Marsh Harbour,26.54,-77.06,82.06,77,33,7.63,BS,1603753181
Aktau,43.65,51.2,37.4,93,0,8.95,KZ,1603753517
Chowchilla,37.12,-120.26,70,37,1,4.7,US,1603753282
Conde,-7.26,-34.91,78.8,83,40,5.82,BR,1603753475
Kenai,60.55,-151.26,46.4,88,90,10.29,US,1603753518
Qasigiannguit,68.82,-51.19,19.4,73,100,5.82,GL,1603753218
Khatanga,71.97,102.5,2.55,94,82,9.64,RU,1603753025
Provideniya,64.38,-173.3,32,92,90,4.47,RU,1603753133
Vila Velha,-20.33,-40.29,75.2,78,0,11.41,BR,1603753182
Sjenica,43.27,20,41.31,90,0,4.18,RS,1603753518
Vadsø,70.07,29.75,37.4,88,75,11.41,NO,1603753518
Kimberley,-28.73,24.76,68,64,100,17.22,ZA,1603753306
Tepetitla,19.28,-98.38,75.2,25,40,14.99,MX,1603753519
Forio,40.73,13.86,68,81,64,5.99,IT,1603753519
Troitsko-Pechorsk,62.71,56.2,16.63,97,54,3.91,RU,1603753237
Hervey Bay,-25.3,152.85,77,89,98,4,AU,1603753040
Tremedal,-14.98,-41.41,73.27,82,88,2.91,BR,1603753519
Bocaiúva,-17.11,-43.81,75.02,71,40,1.16,BR,1603753520
Tura,25.52,90.22,68.76,92,0,2.93,IN,1603753062
Hamilton,39.18,-84.53,50,81,90,6.93,US,1603753011
Waitati,-45.75,170.57,53.01,70,71,5.99,NZ,1603753181
Biswān,27.5,81,66.67,32,0,5.55,IN,1603753520
San Angelo,31.46,-100.44,35.6,93,90,12.75,US,1603753012
Orneta,54.11,20.13,53.2,85,65,10.8,PL,1603753520
Ferme-Neuve,46.7,-75.45,33.6,95,100,4.38,CA,1603753520
Shepsi,44.04,39.15,70.45,47,3,5.84,RU,1603753520
Te Anau,-45.42,167.72,54.55,52,59,6.44,NZ,1603753521
College,64.86,-147.8,28.4,86,90,6.93,US,1603753521
Acapulco de Juárez,16.86,-99.89,86,79,75,8.05,MX,1603753168
